,데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
3637,2024-03-22 16:47,ICW0W2000987,11,6,751,121,23.8,26,59,96
3638,2024-03-22 16:47,ICW0W2000983,8,4,50,236,17.7,34,61,95
3639,2024-03-22 16:47,ICW0W2000978,13,8,597,263,15.8,28,45,87
3640,2024-03-22 16:47,ICW0W2000977,7,4,1202,1306,21.6,30,58,76
3641,2024-03-22 16:47,ICW0W2000974,10,6,1036,700,19.6,33,75,84
3642,2024-03-22 16:47,ICW0W2000973,11,6,501,800,21.1,28,52,83
3643,2024-03-22 13:53,ICW0W2000972,129,90,847,110,23.7,21,59,70
3644,2024-03-22 16:47,ICW0W2000968,8,5,686,246,25.3,23,74,92
3645,2024-03-22 16:47,ICW0W2000964,18,10,476,102,18.9,29,61,96
3646,2024-03-22 16:47,ICW0W2000956,80,32,953,6000,21.3,35,62,64
3647,2024-03-22 16:47,ICW0W2000955,12,8,556,424,19.1,29,64,90
3648,2024-03-22 16:47,ICW0W2000951,31,7,447,5705,24.3,33,64,64
3649,2024-03-22 16:44,ICW0W2000944,3,2,777,918,20.9,33,49,81
3650,2024-03-22 16:47,ICW0W2000933,18,5,415,61,23,28,56,98
3651,2024-03-22 16:47,ICW0W2000926,3,1,413,618,28.3,27,50,81
3652,2024-03-22 16:47,ICW0W2000924,14,3,584,32,21.7,30,60,98
3653,2024-03-22 16:47,ICW0W2000922,25,7,187,0,21,30,65,99
3654,2024-03-22 16:47,V01T1623130,1,1,595,198,22.8,21,42,97
3655,2024-03-22 16:47,V01T1623129,36,16,577,125,23,22,30,93
3656,2024-03-22 16:47,V01T1623123,1,1,808,232,26.2,21,46,93
3657,2024-03-13 15:23,V01T1623121,55,24,426,132,18,22,43,92
3658,2024-03-22 16:46,V01T1623118,15,7,550,249,25,22,39,91
3659,2024-03-22 16:46,V01T1623117,31,14,1048,627,24.5,25,52,79
3660,2024-03-22 16:11,V01T1623116,33,15,1561,464,24.7,27,40,73
3661,2024-03-22 16:47,V01T1623113,29,14,644,149,24.3,17,30,87
3662,2024-03-22 16:47,V01T1623112,57,25,728,508,27.9,24,49,76
3663,2024-03-22 16:47,V01T1623109,38,17,2362,208,11,38,40,68
